Aika,kWh
2021-12-17 12:00:00,71
2021-12-17 13:00:00,70
2021-12-17 14:00:00,69
2021-12-17 15:00:00,63
2021-12-17 16:00:00,66
2021-12-17 17:00:00,72
2021-12-17 18:00:00,71
2021-12-17 19:00:00,69
2021-12-17 20:00:00,68
2021-12-17 21:00:00,66
2021-12-17 22:00:00,72
2021-12-17 23:00:00,69
2021-12-18 00:00:00,69
2021-12-18 01:00:00,76
2021-12-18 02:00:00,67
2021-12-18 03:00:00,70
2021-12-18 04:00:00,66
2021-12-18 05:00:00,66
2021-12-18 06:00:00,64
2021-12-18 07:00:00,65
2021-12-18 08:00:00,61
2021-12-18 09:00:00,60
2021-12-18 10:00:00,60
2021-12-18 11:00:00,55
2021-12-18 12:00:00,55
2021-12-18 13:00:00,58
2021-12-18 14:00:00,51
2021-12-18 15:00:00,56
2021-12-18 16:00:00,53
2021-12-18 17:00:00,56
2021-12-18 18:00:00,52
2021-12-18 19:00:00,56
2021-12-18 20:00:00,50
2021-12-18 21:00:00,53
2021-12-18 22:00:00,58
2021-12-18 23:00:00,57
2021-12-19 00:00:00,63
2021-12-19 01:00:00,62
2021-12-19 02:00:00,62
2021-12-19 03:00:00,66
2021-12-19 04:00:00,64
2021-12-19 05:00:00,65
2021-12-19 06:00:00,69
2021-12-19 07:00:00,66
2021-12-19 08:00:00,72
2021-12-19 09:00:00,70
2021-12-19 10:00:00,71
2021-12-19 11:00:00,70
2021-12-19 12:00:00,74
2021-12-19 13:00:00,70
2021-12-19 14:00:00,70
2021-12-19 15:00:00,71
2021-12-19 16:00:00,70
2021-12-19 17:00:00,70
2021-12-19 18:00:00,75
2021-12-19 19:00:00,72
2021-12-19 20:00:00,86
2021-12-19 21:00:00,86
2021-12-19 22:00:00,91
2021-12-19 23:00:00,95
2021-12-20 00:00:00,92
2021-12-20 01:00:00,92
2021-12-20 02:00:00,92
2021-12-20 03:00:00,95
2021-12-20 04:00:00,99
2021-12-20 05:00:00,110
2021-12-20 06:00:00,100
2021-12-20 07:00:00,110
2021-12-20 08:00:00,112
2021-12-20 09:00:00,114
2021-12-20 10:00:00,123
2021-12-20 11:00:00,123
2021-12-20 12:00:00,126
2021-12-20 13:00:00,123
2021-12-20 14:00:00,122
2021-12-20 15:00:00,117
2021-12-20 16:00:00,119
2021-12-20 17:00:00,120
2021-12-20 18:00:00,119
2021-12-20 19:00:00,113
2021-12-20 20:00:00,108
2021-12-20 21:00:00,101
2021-12-20 22:00:00,106
2021-12-20 23:00:00,104
2021-12-21 00:00:00,108
2021-12-21 01:00:00,104
2021-12-21 02:00:00,104
2021-12-21 03:00:00,111
2021-12-21 04:00:00,108
2021-12-21 05:00:00,113
2021-12-21 06:00:00,115
2021-12-21 07:00:00,116
2021-12-21 08:00:00,126
2021-12-21 09:00:00,126
2021-12-21 10:00:00,130
2021-12-21 11:00:00,136
2021-12-21 12:00:00,128
2021-12-21 13:00:00,133
2021-12-21 14:00:00,129
2021-12-21 15:00:00,124
2021-12-21 16:00:00,126
2021-12-21 17:00:00,124
2021-12-21 18:00:00,136
2021-12-21 19:00:00,119
2021-12-21 20:00:00,124
2021-12-21 21:00:00,121
2021-12-21 22:00:00,121
2021-12-21 23:00:00,122
2021-12-22 00:00:00,125
2021-12-22 01:00:00,125
2021-12-22 02:00:00,119
2021-12-22 03:00:00,130
2021-12-22 04:00:00,122
2021-12-22 05:00:00,120
2021-12-22 06:00:00,120
2021-12-22 07:00:00,113
2021-12-22 08:00:00,124
2021-12-22 09:00:00,115
2021-12-22 10:00:00,114
2021-12-22 11:00:00,114
2021-12-22 12:00:00,114
2021-12-22 13:00:00,109
2021-12-22 14:00:00,106
2021-12-22 15:00:00,107
2021-12-22 16:00:00,110
2021-12-22 17:00:00,106
2021-12-22 18:00:00,108
2021-12-22 19:00:00,105
2021-12-22 20:00:00,103
2021-12-22 21:00:00,113
2021-12-22 22:00:00,105
2021-12-22 23:00:00,107
2021-12-23 00:00:00,101
2021-12-23 01:00:00,101
2021-12-23 02:00:00,101
2021-12-23 03:00:00,95
2021-12-23 04:00:00,91
2021-12-23 05:00:00,91
2021-12-23 06:00:00,83
2021-12-23 07:00:00,86
2021-12-23 08:00:00,81
2021-12-23 09:00:00,84
2021-12-23 10:00:00,81
2021-12-23 11:00:00,80
2021-12-23 12:00:00,81
2021-12-23 13:00:00,75
2021-12-23 14:00:00,79
