timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-04 12:00:00+00:00,69.77455013,57.95911156,30.99290085,2.099999905,25.40647526,5.148532004,0,0,31.05544997,14,,,,11.2,44,719.4,31.05544997
2021-09-04 13:00:00+00:00,69.54943935,57.97421907,31.10955589,2.099999905,25.62388215,4.848894728,0,0,31.18633271,12,,,,10.5,46,396.8,31.18633271
2021-09-04 14:00:00+00:00,69.65955404,57.92533492,32.08576904,2.099999905,26.05545375,5.191544287,0,0,32.12621626,10,,,,10.5,47,98.7,32.12621626
2021-09-04 15:00:00+00:00,70.35114731,57.96641189,33.39258604,2.099999905,26.62426198,6.381649585,0,0,33.40973672,11,,,,9.8,49,41.1,33.40973672
2021-09-04 16:00:00+00:00,71.23469883,58.03332442,34.31936855,2.099999905,27.192838,6.714899257,0,0,34.36302161,12,,,,9.2,50,23.2,34.36302161
2021-09-04 17:00:00+00:00,72.15890003,58.0495732,36.42647351,2.099999905,28.15227638,7.661992472,0,0,36.40184316,13,,,,8.6,57,13.9,36.40184316
2021-09-04 18:00:00+00:00,73.03363137,58.1924809,38.20896322,2.099999905,29.09661086,7.988066474,0,0,38.20251294,15,,,,7.9,59,-3.1,38.20251294
2021-09-04 19:00:00+00:00,73.84024831,57.98146201,39.59760546,2.099999905,29.82856836,8.026182662,0,0,39.64168252,17,,,,7.4,64,-3.1,39.64168252
2021-09-04 20:00:00+00:00,74.08370935,58.14348494,39.93321346,2.099999905,30.05004842,9.101274586,0,0,39.7569055,20,,,,6.2,71,-2.8,39.7569055
2021-09-04 21:00:00+00:00,74.34981649,58.12569364,40.30916513,2.099999905,30.558987,15.16283506,0,0,40.42046669,23,,,,5.8,76,-2.6,40.42046669
2021-09-04 22:00:00+00:00,74.56098913,57.9407989,40.97466569,2.099999905,31.50847059,18.9104291,0,0,40.88996878,24,,,,5.3,79,-2.5,40.88996878
2021-09-04 23:00:00+00:00,74.86418609,57.93125028,41.59059272,2.099999905,32.61605482,20.88713886,0,0,41.43009145,24,,,,4.6,83,-2.6,41.43009145
2021-09-05 00:00:00+00:00,75.04999981,58.00312772,41.0681253,2.099999905,32.20062603,17.14354627,0,0,41.22833544,25,,,,3.3,87,-2.7,41.22833544
2021-09-05 00:00:00+00:00,75.04999981,58.00312772,41.0681253,2.099999905,32.20083387,17.14146779,0,0,41.22833544,25,,,,3.3,87,-2.7,41.22833544
2021-09-05 01:00:00+00:00,74.80842159,58.07112102,41.08275272,2.099999905,31.65165819,15.36115214,0,0,40.9417251,26,,,,1.4,94,-2.6,40.9417251
2021-09-05 02:00:00+00:00,74.50008826,57.85800346,40.44218943,2.099999905,31.03354569,12.27762173,0,0,40.54186882,29,,,,0.8,95,-2.2,40.54186882
2021-09-05 03:00:00+00:00,74.32507636,57.98331528,40.19223565,2.099999905,30.60867338,10.21927455,0,0,40.33151601,26,,,,1.9,95,-1.8,40.33151601
2021-09-05 04:00:00+00:00,74.34167708,57.89165977,40.33394732,2.099999905,30.85821433,13.61757177,0,0,40.38211808,25,,,,2.3,95,19.9,40.38211808
2021-09-05 05:00:00+00:00,74.08378856,58.00855491,39.0593103,2.099999905,29.51101701,7.844554066,0,0,38.99997052,24,,,,3.7,92,52,38.99997052
2021-09-05 06:00:00+00:00,73.39258883,58.06675933,36.8683537,2.099999905,28.3799113,6.868676166,0,0,36.83053188,25,,,,6.9,81,282.9,36.83053188
2021-09-05 07:00:00+00:00,72.10127351,57.89955382,33.62077768,2.099999905,26.89174992,4.791822934,0,0,33.59675412,24,,,,10.4,71,299.5,33.59675412
2021-09-05 08:00:00+00:00,70.76820547,57.97494395,31.41063962,2.099999905,25.77738207,4.121996401,0,0,31.31939024,21,,,,11.8,60,353.3,31.31939024
2021-09-05 09:00:00+00:00,69.61813288,57.97480286,29.98320399,2.099999905,25.06056133,4.601381505,0,0,30.02372517,18,,,,12.5,49,369.7,30.02372517
2021-09-05 10:00:00+00:00,68.85136851,57.90049234,29.34485861,2.099999905,24.62284701,4.890152106,0,0,29.29239667,12,,,,12.8,45,410.9,29.29239667
2021-09-05 11:00:00+00:00,68.35077708,57.99066719,28.82467159,2.099999905,24.59825776,2.485940005,0,0,28.90722432,10,,,,12.9,48,372.6,28.90722432
2021-09-05 12:00:00+00:00,68.36641754,58.05794295,29.38150798,2.099999905,24.84686245,2.689693909,0,0,29.36927139,10,,,,12.8,51,326.1,29.36927139
2021-09-05 13:00:00+00:00,68.49115902,58.00924515,29.94837424,2.099999905,25.07373443,4.077070948,0,0,29.87191145,9,,,,12.5,52,237.5,29.87191145
2021-09-05 14:00:00+00:00,68.7739732,57.97531293,30.65602514,2.099999905,25.44053083,4.405758115,0,0,30.634774,8,,,,12,53,137.1,30.634774
2021-09-05 15:00:00+00:00,69.22406669,57.99216573,31.31608957,2.099999905,25.72283147,4.707977968,0,0,31.19021654,9,,,,11.7,57,126.1,31.19021654
2021-09-05 16:00:00+00:00,69.79808272,57.9992875,31.99717503,2.099999905,25.85005528,5.621749536,0,0,32.02698358,11,,,,11.2,57,34.2,32.02698358
2021-09-05 17:00:00+00:00,70.53083656,57.96687871,33.19603164,2.099999905,26.61319606,6.728794703,0,0,33.27302345,11,,,,10.4,67,5.8,33.27302345
2021-09-05 18:00:00+00:00,71.0988013,58.0659483,33.7175473,2.099999905,26.79827969,6.841986143,0,0,33.74357385,12,,,,9.4,77,-1.5,33.74357385
2021-09-05 19:00:00+00:00,71.58229299,58.05825373,33.74984024,2.099999905,26.90049752,6.598954884,0,0,33.83301446,13,,,,9.6,72,-1.8,33.83301446
